issue_key,file_path,file,rule,message,line,type,effort,impact_severity,impact_quality,rank,llm_reasoning
AZ4HYWhbUdMD1-xUpqpu,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S2095,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause.",71.0,BUG,5min,HIGH,RELIABILITY,1,"This is a BUG-type alert (java:S2095) about an unclosed Connection resource in C3P0ConnectionProvider.java, which can cause connection leaks in a database connection provider — a critical infrastructure component. The file has a reliability rating of E (worst possible) and is the only file with a bug, making this the highest-priority issue. Resource leaks in connection management can cause severe production outages."
AZ4HYWhbUdMD1-xUpqpw,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S2864,"Iterate over the ""entrySet"" instead of the ""keySet"".",156.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,2,"This CODE_SMELL in C3P0ConnectionProvider.java (iterating over keySet instead of entrySet) is in the same file rated E for reliability, which already has 1 bug and 4 total violations. While a code smell, inefficient map iteration in a connection provider can have performance implications. The file's E reliability rating elevates all issues within it."
AZ4HYWhbUdMD1-xUpqpv,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S3008,"Rename this field ""HIBERNATE_STYLE_SETTING_PREFIX"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",46.0,CODE_SMELL,2min,LOW,MAINTAINABILITY,3,"This naming convention issue in C3P0ConnectionProvider.java is in the same E-reliability-rated file with 4 violations. Although a minor code smell, the context of a poorly-rated file with an existing bug makes all issues in this file worth investigating together. Fixing naming issues alongside the bug is practical."
AZ4HYWhbUdMD1-xUpqpx,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S1133,Do not forget to remove this deprecated code someday.,248.0,CODE_SMELL,10min,LOW,MAINTAINABILITY,4,The deprecated code warning in C3P0ConnectionProvider.java (java:S1133) is in the same E-reliability file. Deprecated code in a connection provider that hasn't been removed could indicate technical debt that contributes to the file's poor reliability rating. The 10-minute effort estimate is moderate.
AZ4HYWYGUdMD1-xUpqgm,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S128,"End this switch case with an unconditional break, return or throw statement.",525.0,CODE_SMELL,10min,HIGH,MAINTAINABILITY,5,"This is a switch case fall-through BUG-pattern (java:S128) in OracleLegacyDialect.java, which has the highest complexity (280 cyclomatic, 131 cognitive) and sqale_index of 69 among dialect files. Fall-through in switch statements can cause unintended behavior, and the high complexity of this file makes such issues harder to detect manually."
AZ4HYWXUUdMD1-xUpqf8,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/HSQLLegacyDialect.java,HSQLLegacyDialect.java,java:S128,"End this switch case with an unconditional break, return or throw statement.",384.0,CODE_SMELL,10min,HIGH,MAINTAINABILITY,6,"This is a switch case fall-through issue (java:S128) in HSQLLegacyDialect.java with 9 code smells and 9 violations. Fall-through switch cases can cause logic errors that are difficult to debug. The file has moderate complexity (145 cyclomatic, 55 cognitive) and 10-minute remediation effort."
AZ4HYWYGUdMD1-xUpqgl,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S3776,Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.,372.0,CODE_SMELL,11min,HIGH,MAINTAINABILITY,7,"This cognitive complexity refactoring alert (java:S3776) in OracleLegacyDialect.java flags a method with complexity of 21 vs. the allowed 15, in a file with the highest overall complexity metrics (280 cyclomatic, 131 cognitive) and 9 violations. High cognitive complexity in Oracle dialect code increases the risk of maintenance errors."
AZ4HYWaRUdMD1-xUpqim,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S4274,Replace this assert with a proper check.,65.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,8,"The assert replacement alert (java:S4274) in H2LegacySqlAstTranslator.java is notable because Java asserts are disabled by default at runtime, meaning the check may never execute. This can mask real errors in SQL AST translation logic. The file has moderate complexity (56 cyclomatic, 32 cognitive)."
AZ4HYWZ8UdMD1-xUpqiF,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1117,"Rename ""inFunction"" which hides the field declared at line 48.",292.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,9,Variable shadowing (java:S1117) in FirebirdSqlAstTranslator.java where a local 'inFunction' variable hides a field declared at line 48 can cause subtle logic bugs where the wrong variable is used. The file has high cognitive complexity (45) and 3 code smells. This type of issue can lead to hard-to-find bugs.
AZ4HYWZ8UdMD1-xUpqiG,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1117,"Rename ""inFunction"" which hides the field declared at line 48.",305.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,10,A second instance of the same variable shadowing issue (java:S1117) for 'inFunction' in FirebirdSqlAstTranslator.java at line 305. Both shadowing instances together increase the risk of logic errors in this high-cognitive-complexity file (45). Ranked just below the first instance as they are related.
